# git_sha=116cdad5795775cff210d379367c29d1a476413c-dirty
# timestamp_utc=2026-07-24T08:03:45.363758+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"T": 20.0, "alpha": 0.1, "arms": ["mc", "antithetic", "cv", "qmc"], "base_dt": 0.05, "beta": 0.5, "budgets": [128, 256, 512, 1024, 2048], "cv_pilot": 512, "estimand": "terminal mean_i C_i(T)", "lam": 0.3, "n_nodes": 200, "n_steps": 400, "p_er": 0.05025125628140704, "quick": false, "ref_samples": 20000, "rel_eps": [0.02, 0.01, 0.005], "reps": 40, "seed": 0, "sigmas": [0.1, 0.433], "topology": "er"}
sigma,method,N,rep,estimate,paths_charged,work_units,ref_mean,abs_err
0.1,qmc,256,18,0.749738380392222,256,102400,0.7497294702606984,8.91013152359843e-06
0.1,qmc,256,19,0.7497024732500717,256,102400,0.7497294702606984,2.6997010626694795e-05
0.1,qmc,256,20,0.7497701218835898,256,102400,0.7497294702606984,4.065162289146329e-05
0.1,qmc,256,21,0.7497230570741782,256,102400,0.7497294702606984,6.413186520171088e-06
0.1,qmc,256,22,0.7497089503352043,256,102400,0.7497294702606984,2.0519925494011382e-05
0.1,qmc,256,23,0.7497302595964064,256,102400,0.7497294702606984,7.893357080179797e-07
0.1,qmc,256,24,0.7497512372849761,256,102400,0.7497294702606984,2.1767024277696834e-05
0.1,qmc,256,25,0.7496960053288626,256,102400,0.7497294702606984,3.346493183575827e-05
0.1,qmc,256,26,0.749718162416748,256,102400,0.7497294702606984,1.1307843950314478e-05
0.1,qmc,256,27,0.7497503379385483,256,102400,0.7497294702606984,2.0867677849922828e-05
0.1,qmc,256,28,0.7497363240903323,256,102400,0.7497294702606984,6.853829633945985e-06
0.1,qmc,256,29,0.7497436994984313,256,102400,0.7497294702606984,1.4229237732976685e-05
0.1,qmc,256,30,0.7497663984194199,256,102400,0.7497294702606984,3.692815872158306e-05
0.1,qmc,256,31,0.7497070011885315,256,102400,0.7497294702606984,2.246907216685301e-05
0.1,qmc,256,32,0.7496931280617731,256,102400,0.7497294702606984,3.634219892523216e-05
0.1,qmc,256,33,0.7497534144430883,256,102400,0.7497294702606984,2.3944182389934454e-05
0.1,qmc,256,34,0.7497583621522261,256,102400,0.7497294702606984,2.8891891527771385e-05
0.1,qmc,256,35,0.7497048156053084,256,102400,0.7497294702606984,2.4654655389921842e-05
0.1,qmc,256,36,0.7497950436932646,256,102400,0.7497294702606984,6.557343256619053e-05
0.1,qmc,256,37,0.7497297351514964,256,102400,0.7497294702606984,2.648907980740134e-07
0.1,qmc,256,38,0.7497342587666956,256,102400,0.7497294702606984,4.788505997277426e-06
0.1,qmc,256,39,0.7497394731077254,256,102400,0.7497294702606984,1.000284702701304e-05
0.1,qmc,512,0,0.7497362742874314,512,204800,0.7497294702606984,6.8040267330315984e-06
0.1,qmc,512,1,0.7497347157290473,512,204800,0.7497294702606984,5.245468348902271e-06
0.1,qmc,512,2,0.7497183696525733,512,204800,0.7497294702606984,1.1100608125036437e-05
0.1,qmc,512,3,0.7497199440356792,512,204800,0.7497294702606984,9.526225019151902e-06
0.1,qmc,512,4,0.7497375058927951,512,204800,0.7497294702606984,8.035632096725642e-06
0.1,qmc,512,5,0.7497247139108751,512,204800,0.7497294702606984,4.756349823220596e-06
0.1,qmc,512,6,0.7497272126209286,512,204800,0.7497294702606984,2.257639769798203e-06
