B,method,seed,estimate,work,degenerate,ess,wall_s,ref
25.0,fixed_splitting,0,6.5850760151722305e-09,1266208,False,2500.0,0.026679582999349805,8.29109774195764e-09
25.0,fixed_splitting,1,1.066284117983916e-08,1259435,False,2500.0,0.026671832998545142,8.29109774195764e-09
25.0,fixed_splitting,2,1.1015875183713063e-08,1278380,False,2500.0,0.02639945799819543,8.29109774195764e-09
25.0,fixed_splitting,3,8.514474033579956e-09,1275902,False,2500.0,0.02670962499905727,8.29109774195764e-09
25.0,fixed_splitting,4,1.4314357290422507e-08,1281120,False,2500.0,0.028391957999701845,8.29109774195764e-09
25.0,fixed_splitting,5,6.998961657289635e-09,1250657,False,2500.0,0.02732191700124531,8.29109774195764e-09
25.0,fixed_splitting,6,8.112950414001405e-09,1280117,False,2500.0,0.026980665999872144,8.29109774195764e-09
25.0,fixed_splitting,7,2.4351030041095207e-09,1239461,False,2500.0,0.025800499999604654,8.29109774195764e-09
25.0,fixed_splitting,8,6.616911625225078e-09,1272004,False,2500.0,0.02678162499796599,8.29109774195764e-09
25.0,fixed_splitting,9,4.654303035043604e-09,1257660,False,2500.0,0.025577500000508735,8.29109774195764e-09
